"1333413287338201094";"Adrian Sung";"ADRIANSYSNET";"RT @DSMeu: 🇭🇷+🇩🇰🇮🇹🇩🇪🇮🇪🇪🇸🇱🇻 = 🌐📱🇪🇺
 
Croatia joined Denmark, Italy, Germany, Ireland, Spain &amp; Latvia in the #EU gateway. As of today the Cro…";"1333413287338201094";"1333413287338201094";"1333413287338201094";"";"3013639482";"EU";"";"30-11-2020";""
"1333070721141059591";"Justyna Romanowska";"JuRomanowska";"RT @DSMeu: Your weekly #DigitalDigest:

🌐New measures to boost #data sharing &amp; support EU data spaces ➡️https://t.co/RZOOmrvVNm 

📱#Poland…";"1333070721141059591";"1333070721141059591";"1333070721141059591";"Brussels";"804086737073033217";"DigitalDigest";"Brussels";"29-11-2020";"digital diplomat in Bxl,digital team lider,attorney-at-law focused on telko&edge tech,civil servant 'digital by default',member of legal panel in Eutelsat"
"1332976708748779522";"Beth ie Inthesky";"bagustina9";"Do you have #coronawarnapp?  Mine says 1 low risk encounter. Yesterday I involuntarily went to an electronics store… https://t.co/dCFBo39Dkc";"1332976708748779522";"1332976708748779522";"1332976708748779522";"Germany";"1255471606790569997";"coronawarnapp";"Germany";"29-11-2020";"Indonesian living in Germany with a cup of ☕️and random posts."
"1332913936874651649";"LinuxBot";"LlnuxBot";"RT @MichlFranken: Corona Warn App bald als Fork im F-Droid Store
#CoronaWarnApp #CoronaWarnAppFork #Android #Linux #Würzburg #Covid19
https…";"1332913936874651649";"1332913936874651649";"1332913936874651649";"Raspberry Pi";"1190726565073522694";"CoronaWarnApp";"Raspberry Pi";"29-11-2020";"Linux Bot | I retweet Linux | Created by @techydox

https://t.co/DrRaUtSPGJ"
"1332913719957917696";"MichlFranken";"MichlFranken";"Corona Warn App bald als Fork im F-Droid Store
#CoronaWarnApp #CoronaWarnAppFork #Android #Linux #Würzburg #Covid19
https://t.co/QvArdgV0Vf";"1332913719957917696";"1332913719957917696";"1332913719957917696";"Deutschland - Würzburg";"1229422362967396353";"CoronaWarnApp";"Deutschland - Würzburg";"29-11-2020";""
"1332898220918280193";"DigitalBugle";"DigitalBugle";"RT @DSMeu: Your weekly #DigitalDigest:

🌐New measures to boost #data sharing &amp; support EU data spaces ➡️https://t.co/RZOOmrvVNm 

📱#Poland…";"1332898220918280193";"1332898220918280193";"1332898220918280193";"";"1136843108094697473";"DigitalDigest";"";"29-11-2020";"Advocating for Ethics, Principles and Values in defining Technology | Technology for Humanity | Human Centric and Sustainable Development | STAMPEDE Project"
"1332821585686827011";"Franz-Josef Herpers";"effdjey";"#coronawarnapp ohne Google Services

https://t.co/QZeuE6mIUA";"1332821585686827011";"1332821585686827011";"1332821585686827011";"Berlin";"52337260";"coronawarnapp";"Berlin";"28-11-2020";"#Philosophie, #Digitalisierung, #DigitalHealth, #Ethik, #Gesundheitswesen, 
Referent  @BAEKAktuell ach so: hier mit persönlicher Meinung unterwegs ;-)"
"1332797107544207361";"Manuel Atug";"HonkHase";"RT @JeZi213: #CoronaWarnApp ohne Google Play https://t.co/Xvw3ryNpam";"1332797107544207361";"1332797107544207361";"1332797107544207361";"Bonn, Deutschland";"1123680822064754688";"CoronaWarnApp";"Bonn, Deutschland";"28-11-2020";"20yrs Sec @CCC Congress&Camp, @GeraffelV @cbase @esfdsev @AG_KRITIS, hacking, #OT & #IT-Security, #Ethik, #KRITIS, working at @HiSolutions, https://t.co/MBgYEOBHZk"
"1332789600641818624";"Jens Ziegler";"JeZi213";"#CoronaWarnApp ohne Google Play https://t.co/Xvw3ryNpam";"1332789600641818624";"1332789600641818624";"1332789600641818624";"Berlin, Deutschland";"1331126192884375554";"CoronaWarnApp";"Berlin, Deutschland";"28-11-2020";"macht seit mehr als 30 Jahren was mit Computern | \"Hello, IT. Have you tried turning it off and on again?\" (The IT Crowd) | 👨‍💻🔑🏰"
"1332685137952206848";"Florian Wilhelm 🇪🇺 Use corona-warn-app.de";"fwilhe";"RT @DSMeu: 🇵🇱 #Poland is the latest of countries to have a #CoronaWarnApp working across #EU 🇪🇺📱.

🌐 Poland joined Croatia, Denmark, Italy,…";"1332685137952206848";"1332685137952206848";"1332685137952206848";"Potsdam, Germany";"3404884084";"Poland";"Potsdam, Germany";"28-11-2020";"Software Developer. I am employed by SAP, but thoughts here are my own."
